,Cerrar,Var neta,Núm de ticks,Volumen,rango,MVA5
09:30 - 10:30,349.77,-8.92,16151.0,2606954,14.78000000000003,359.1679999999998
10:30 - 11:30,348.28,-1.49,8128.0,1184437,3.2799999999999727,356.0099999999998
11:30 - 12:30,347.04,-1.24,6289.0,930679,4.990000000000009,352.77399999999983
14:30 - 15:30,344.92,2.85,5181.0,783375,4.670000000000016,345.58799999999985
15:30 - 16:30,346.13,1.21,6115.0,1030210,2.170000000000016,345.15799999999984
09:30 - 10:30,350.9,4.77,7340.0,1175353,7.689999999999998,345.92999999999984
10:30 - 11:30,350.94,0.04,4628.0,662837,3.8799999999999955,346.99199999999985
11:30 - 12:30,348.66,-2.28,2428.0,343390,2.7899999999999636,348.30999999999983
14:30 - 15:30,347.0,-0.57,2075.0,287688,3.579999999999984,348.6559999999998
15:30 - 16:30,347.94,0.94,2257.0,656247,2.6299999999999955,348.05599999999976
09:30 - 10:30,341.16,-6.78,7527.0,1169229,9.069999999999993,346.5559999999997
10:30 - 11:30,343.87,2.71,4498.0,620338,4.67999999999995,345.5079999999997
11:30 - 12:30,344.03,0.16,2365.0,329648,1.990000000000009,344.7999999999998
14:30 - 15:30,347.82,-1.23,2186.0,313177,2.840000000000032,346.03599999999983
15:30 - 16:30,346.45,-1.37,2186.0,421348,2.0300000000000296,346.55199999999985
09:30 - 10:30,350.8,4.35,4527.0,639374,4.670000000000016,347.9059999999999
10:30 - 11:30,351.66,0.86,3139.0,401275,1.6499999999999773,349.1559999999999
11:30 - 12:30,353.47,1.81,3334.0,451557,2.150000000000034,350.0399999999999
14:30 - 15:30,353.51,0.01,1628.0,225485,1.1999999999999886,352.91199999999986
15:30 - 16:30,354.48,0.97,2857.0,470187,1.8199999999999932,353.4759999999998
09:30 - 10:30,353.12,-1.36,6908.0,1009666,6.490000000000009,353.40599999999984
10:30 - 11:30,354.35,1.23,3764.0,508456,2.4699999999999704,353.7919999999998
11:30 - 12:30,355.11,0.76,2502.0,333448,1.7700000000000387,354.11399999999986
14:30 - 15:30,359.65,1.23,2580.0,346039,1.4399999999999977,356.96799999999985
15:30 - 16:30,361.0,1.35,4627.0,720456,2.180000000000007,358.2979999999999
09:30 - 10:30,362.76,1.76,5013.0,713763,4.560000000000002,359.8279999999998
10:30 - 11:30,362.96,0.2,3867.0,566275,4.139999999999986,360.9579999999998
11:30 - 12:30,362.22,-0.74,1651.0,224416,2.5500000000000114,361.71799999999985
14:30 - 15:30,360.65,-0.84,1903.0,279000,2.8999999999999773,361.58599999999984
15:30 - 16:30,360.87,0.22,2215.0,456182,1.259999999999991,361.16799999999984
09:30 - 10:30,358.76,-2.11,4073.0,592012,4.25,360.4759999999999
10:30 - 11:30,357.32,-1.44,3544.0,465751,2.890000000000043,359.81799999999987
11:30 - 12:30,358.35,1.03,2155.0,305670,2.3100000000000023,359.1899999999998
14:30 - 15:30,362.22,1.22,2194.0,303527,2.6100000000000136,360.1139999999998
15:30 - 16:30,361.79,-0.43,2492.0,454356,1.3199999999999932,361.00799999999987
09:30 - 10:30,350.48,-11.31,10467.0,1646343,7.3700000000000045,359.4339999999999
10:30 - 11:30,348.33,-2.15,9520.0,1367302,4.970000000000027,356.7639999999999
11:30 - 12:30,348.93,0.6,3474.0,512372,2.680000000000007,354.3499999999999
14:30 - 15:30,347.94,-0.68,3374.0,436081,1.259999999999991,348.6139999999999
15:30 - 16:30,349.24,1.3,4296.0,632765,1.579999999999984,348.79599999999994
09:30 - 10:30,350.54,1.3,7528.0,1047335,6.199999999999989,349.1179999999999
10:30 - 11:30,353.98,3.44,4243.0,644961,4.8700000000000045,350.06399999999996
11:30 - 12:30,354.09,0.11,1948.0,303323,1.67999999999995,351.158
14:30 - 15:30,355.94,-0.15,1942.0,250239,1.3500000000000227,354.82
15:30 - 16:30,357.2,1.26,2866.0,516272,1.490000000000009,355.46399999999994
09:30 - 10:30,354.1,-3.1,4672.0,733619,5.92999999999995,355.46599999999995
10:30 - 11:30,353.56,-0.54,2555.0,360153,2.6499999999999773,355.378
11:30 - 12:30,355.8,2.24,2139.0,384772,3.3700000000000045,355.32000000000005
14:30 - 15:30,356.68,-1.03,1831.0,246988,2.259999999999991,356.0400000000001
15:30 - 16:30,357.0,0.32,2887.0,508457,1.5600000000000023,356.72800000000007
09:30 - 10:30,353.43,-3.57,8016.0,1303520,5.720000000000027,356.254
10:30 - 11:30,351.71,-1.72,5715.0,825443,3.919999999999959,355.306
11:30 - 12:30,351.72,0.01,4205.0,642481,2.5500000000000114,354.108
14:30 - 15:30,353.51,1.62,2215.0,295226,1.8999999999999773,352.072
15:30 - 16:30,353.65,0.14,2542.0,552130,1.339999999999975,352.4599999999999
09:30 - 10:30,351.55,-2.1,5277.0,795178,4.400000000000034,352.426
10:30 - 11:30,347.8,-3.75,5466.0,859563,4.270000000000039,351.67999999999995
11:30 - 12:30,346.3,-1.5,3861.0,631290,2.1899999999999977,350.562
14:30 - 15:30,346.81,-2.54,1579.0,216033,2.8700000000000045,347.792
15:30 - 16:30,347.38,0.57,2471.0,425868,1.259999999999991,347.70799999999997
09:30 - 10:30,348.36,0.98,6380.0,926382,5.899999999999977,348.11999999999995
10:30 - 11:30,349.06,0.7,2568.0,338289,2.480000000000018,348.19199999999995
11:30 - 12:30,347.55,-1.51,3418.0,550367,3.569999999999993,347.832
14:30 - 15:30,349.39,-0.04,1667.0,222240,0.9300000000000068,348.68599999999986
15:30 - 16:30,349.77,0.38,2035.0,330140,1.2199999999999704,348.82799999999986
09:30 - 10:30,351.68,1.91,5626.0,1155787,2.7199999999999704,349.6539999999999
10:30 - 11:30,351.53,-0.15,3758.0,523584,2.0399999999999636,350.35999999999984
11:30 - 12:30,348.77,-2.76,2666.0,423222,3.0400000000000205,350.22799999999984
14:30 - 15:30,348.3,0.7,2506.0,344023,1.490000000000009,349.0059999999999
15:30 - 16:30,346.76,-1.54,2324.0,444123,1.740000000000009,348.0519999999999
09:30 - 10:30,349.52,2.76,4701.0,733742,6.409999999999968,348.20199999999994
10:30 - 11:30,351.39,1.87,2799.0,454211,2.329999999999984,348.71399999999994
11:30 - 12:30,351.11,-0.28,2188.0,328023,1.420000000000016,349.416
14:30 - 15:30,351.6,-0.78,2291.0,293366,1.410000000000025,351.58599999999996
15:30 - 16:30,351.79,0.19,3356.0,720107,1.839999999999975,351.666
09:30 - 10:30,355.53,3.74,4727.0,719756,5.090000000000032,352.5499999999999
10:30 - 11:30,360.24,4.71,5706.0,862099,6.5,354.30799999999994
11:30 - 12:30,358.39,-1.85,2817.0,446975,2.839999999999975,355.50999999999993
14:30 - 15:30,357.03,-1.38,2007.0,272762,2.3799999999999955,358.694
15:30 - 16:30,358.32,1.29,2070.0,367388,1.6200000000000045,358.31
09:30 - 10:30,363.18,4.86,5227.0,804188,5.400000000000034,359.26800000000003
10:30 - 11:30,363.95,0.77,3439.0,516030,2.3899999999999864,360.178
11:30 - 12:30,363.98,0.03,2256.0,287772,1.509999999999991,361.292
14:30 - 15:30,358.78,1.23,2284.0,304254,2.409999999999968,361.28799999999995
15:30 - 16:30,359.85,1.07,1956.0,442505,1.6200000000000045,360.46799999999996
09:30 - 10:30,356.36,-3.49,4338.0,639492,4.180000000000007,358.94399999999996
10:30 - 11:30,357.73,1.37,3573.0,479872,2.660000000000025,358.054
11:30 - 12:30,357.3,-0.43,2026.0,305527,1.7800000000000296,358.00399999999996
14:30 - 15:30,359.49,0.64,1805.0,231017,1.1999999999999886,358.562
15:30 - 16:30,360.13,0.64,2575.0,478376,1.849999999999966,359.04200000000003
